                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.51,                 1.6308,                0.86802,                0.42994,                0.33079,                0.24815,                0.14141,                 1.3003,                 1.5247,                0.82598,             0.00040598,             0.00040598,             0.00040598
                      2,                 1.3356,                0.81434,                0.83025,                0.77432,                 0.4941,                0.54281,                0.32596,                 1.1943,                0.79597,                0.81835,             0.00081451,             0.00081451,             0.00081451
                      3,                 1.3185,                0.79188,                0.82065,                0.91261,                0.40322,                0.52266,                 0.2781,                 1.3266,                0.81135,                0.82187,              0.0012148,              0.0012148,              0.0012148
                      4,                 1.2685,                0.72629,                0.81871,                0.79471,                 0.5306,                0.60049,                0.35788,                 1.2246,                0.65804,                0.82062,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.2796,                0.67534,                0.81477,                0.82494,                0.52306,                0.63321,                0.33742,                  1.203,                0.62772,                0.81647,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.2197,                0.63831,                0.81492,                0.84534,                 0.5735,                0.64385,                0.39794,                 1.0686,                0.56441,                0.80826,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.1712,                0.59794,                0.80737,                0.62039,                0.59745,                0.63042,                0.37015,                 1.1655,                0.58203,                0.81453,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.2559,                0.62805,                0.81681,                0.73804,                 0.6311,                0.67552,                0.39822,                 1.0747,                0.55856,                0.80907,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.1668,                0.59939,                0.81152,                0.87591,                0.58276,                0.66237,                0.41718,                 1.0461,                0.55738,                0.80828,               0.001151,               0.001151,               0.001151
                     10,                  1.133,                0.58511,                0.80954,                0.70136,                0.64848,                0.67025,                0.39493,                 1.0891,                0.59094,                0.80981,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.1569,                0.58941,                0.80633,                0.79572,                0.63202,                0.69982,                0.41199,                 1.1085,                0.54687,                0.81168,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.1181,                 0.5595,                0.80627,                0.87005,                0.61736,                0.71012,                0.44635,                 0.9745,                0.50811,                0.80579,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.1491,                0.55399,                0.80336,                0.78118,                0.63366,                0.68293,                0.43155,                0.98064,                0.52272,                0.80533,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.0748,                0.52075,                0.80083,                0.67705,                0.68901,                0.68922,                0.44237,                 1.0014,                0.52104,                0.80399,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.0578,                0.52504,                0.80262,                0.90513,                0.62427,                0.71906,                0.45339,                0.94768,                0.48377,                0.80185,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.0636,                0.51985,                0.79985,                0.81239,                0.63287,                0.68287,                0.42953,                 0.9999,                0.51152,                0.80794,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.0114,                0.50931,                0.79775,                0.77685,                0.68384,                0.72911,                0.46272,                0.92372,                0.46599,                0.80313,               0.001052,               0.001052,               0.001052
                     18,                 1.0435,                0.51321,                0.79863,                0.74941,                0.68055,                0.73004,                0.46327,                0.94003,                0.46469,                0.80215,              0.0010396,              0.0010396,              0.0010396
                     19,                  1.039,                0.50815,                0.80026,                 0.8514,                0.66954,                0.73388,                0.47308,                0.94439,                0.46798,                0.80074,              0.0010273,              0.0010273,              0.0010273
